TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN
1743282362;3/29/2025 9:06:02 PM;15.8;32.2;48.34;1011.9;5.04;199;0
1743282424;3/29/2025 9:07:04 PM;15.8;32.2;48.75;1011.9;2.88;1;0
1743282487;3/29/2025 9:08:07 PM;15.91;32.1;47.72;1012.0;6.48;176;0
1743282550;3/29/2025 9:09:10 PM;15.94;32.0;47.76;1012.0;4.68;78;0
1743282612;3/29/2025 9:10:12 PM;15.94;32.0;47.15;1011.8;5.4;105;0
1743282675;3/29/2025 9:11:15 PM;15.94;31.8;46.97;1011.9;3.96;26;0
1743282738;3/29/2025 9:12:18 PM;15.89;31.8;47.76;1011.9;2.16;34;0
1743282801;3/29/2025 9:13:21 PM;15.98;31.8;47.89;1011.9;1.44;170;0
1743282863;3/29/2025 9:14:23 PM;16.13;31.7;47.48;1011.8;4.68;55;0
1743282926;3/29/2025 9:15:26 PM;16.13;31.7;47.11;1011.8;4.68;207;0
1743282989;3/29/2025 9:16:29 PM;16.14;31.8;46.96;1011.8;2.52;15;0
1743283051;3/29/2025 9:17:31 PM;16.27;31.8;46.58;1011.8;4.68;36;0
1743283114;3/29/2025 9:18:34 PM;16.25;31.9;46.43;1011.8;3.96;83;0
1743283177;3/29/2025 9:19:37 PM;16.2;31.9;46.55;1011.8;2.52;122;0
1743283239;3/29/2025 9:20:39 PM;16.16;31.8;46.84;1011.8;11.52;162;0
1743283302;3/29/2025 9:21:42 PM;16.05;31.7;47.52;1011.8;6.84;208;0
1743283365;3/29/2025 9:22:45 PM;16.08;31.6;47.48;1011.8;8.64;197;0
1743283427;3/29/2025 9:23:47 PM;16.11;31.6;47.16;1011.8;11.52;160;0
1743283490;3/29/2025 9:24:50 PM;15.97;31.5;47.62;1011.9;2.16;245;0
1743283553;3/29/2025 9:25:53 PM;15.91;31.4;48.52;1011.8;3.96;230;0
1743283616;3/29/2025 9:26:56 PM;15.92;31.1;47.93;1011.9;5.4;144;0
1743283678;3/29/2025 9:27:58 PM;15.77;31.0;48.21;1011.8;5.76;180;0
1743283741;3/29/2025 9:29:01 PM;15.64;30.9;48.2;1011.7;6.84;204;0
1743283804;3/29/2025 9:30:04 PM;15.61;30.8;48.4;1011.8;3.24;264;0
1743283866;3/29/2025 9:31:06 PM;15.76;30.6;48.35;1011.8;2.88;306;0
1743283929;3/29/2025 9:32:09 PM;15.89;30.5;47.87;1011.8;6.84;159;0
1743283992;3/29/2025 9:33:12 PM;15.81;30.4;47.84;1011.8;6.84;178;0
1743284054;3/29/2025 9:34:14 PM;15.79;30.4;47.65;1011.8;3.6;180;0
1743284117;3/29/2025 9:35:17 PM;15.87;30.4;47.88;1011.7;3.24;265;0
1743284180;3/29/2025 9:36:20 PM;15.98;30.3;47.77;1011.7;8.28;165;0
1743284242;3/29/2025 9:37:22 PM;15.86;30.3;47.58;1011.7;8.28;161;0
1743284305;3/29/2025 9:38:25 PM;15.76;30.3;47.94;1011.7;9.36;169;0
1743284368;3/29/2025 9:39:28 PM;15.78;30.3;48.42;1011.7;4.68;173;0
1743284431;3/29/2025 9:40:31 PM;15.86;30.2;48.3;1011.7;3.96;215;0
1743284493;3/29/2025 9:41:33 PM;15.95;30.2;48.1;1011.7;4.68;233;0
1743284554;3/29/2025 9:42:34 PM;16.04;30.3;48.05;1011.8;3.96;238;0
1743284619;3/29/2025 9:43:39 PM;16.25;30.3;47.54;1011.7;1.44;172;0
1743284681;3/29/2025 9:44:41 PM;16.32;30.3;46.65;1011.6;6.12;156;0
1743284744;3/29/2025 9:45:44 PM;16.32;30.4;46.06;1011.7;3.24;205;0
1743284807;3/29/2025 9:46:47 PM;16.23;30.7;46.74;1011.8;5.76;157;0
1743284869;3/29/2025 9:47:49 PM;16.16;30.8;47.56;1011.8;8.28;157;0
1743284932;3/29/2025 9:48:52 PM;16.11;31.0;47.64;1011.6;8.28;186;0
1743284995;3/29/2025 9:49:55 PM;16.11;31.1;47.26;1011.7;3.6;275;0
1743285057;3/29/2025 9:50:57 PM;16.29;31.4;47.26;1011.7;2.16;341;0
1743285120;3/29/2025 9:52:00 PM;16.49;31.5;46.85;1011.7;3.24;329;0
