NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
72;Toyota GR86;Am;20;2:08.511;10;2:08.610;9;2:08.777;8;2:08.997;20;2:09.050;11;2:09.062;19;2:09.279;14;2:09.365;12;2:09.384;5;2:09.413;6;2:09.044
12;Toyota GR86;Am;20;2:13.822;8;2:14.365;7;2:15.042;9;2:15.146;10;2:15.168;15;2:15.307;12;2:15.389;11;2:15.488;16;2:15.502;6;2:15.919;19;2:15.114
7;Toyota GR86;Am;20;2:08.776;8;2:08.786;19;2:08.794;15;2:08.843;17;2:08.845;9;2:08.853;14;2:08.891;16;2:08.943;18;2:08.987;10;2:09.137;13;2:08.885
98;Toyota GR86;Am;4;2:15.206;2;3:18.055;4;3:27.135;3;;0;;0;;0;;0;;0;;0;;0;3:00.132
21;Toyota GR86;Am;20;2:09.321;6;2:09.419;14;2:09.472;13;2:09.556;10;2:09.626;12;2:09.890;5;2:10.039;11;2:10.070;7;2:10.205;15;2:10.296;20;2:09.789
55;Toyota GR86;Am;20;2:08.497;9;2:08.649;11;2:08.720;10;2:09.334;12;2:09.388;8;2:09.921;17;2:09.943;18;2:09.978;6;2:10.026;16;2:10.035;14;2:09.449
46;Toyota GR86;Am;20;2:08.542;9;2:08.600;10;2:08.818;20;2:08.881;19;2:08.900;11;2:09.122;14;2:09.154;15;2:09.299;17;2:09.349;8;2:09.386;12;2:09.005
5;Toyota GR86;Am;20;2:10.177;11;2:10.406;18;2:10.423;20;2:10.562;9;2:10.578;6;2:10.583;16;2:10.614;12;2:10.647;17;2:10.698;8;2:10.752;13;2:10.544
89;Toyota GR86;Am;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;
80;Toyota GR86;Am;20;2:10.879;11;2:11.310;9;2:11.362;6;2:12.169;7;2:12.201;15;2:12.275;10;2:12.413;8;2:12.480;12;2:13.230;14;2:14.303;5;2:12.262
111;Toyota GR86;Am;20;2:09.345;20;2:09.785;6;2:09.789;7;2:09.844;12;2:09.846;11;2:09.898;8;2:09.930;10;2:09.976;9;2:10.123;17;2:10.607;18;2:09.914
88;Toyota GR86;Am;20;2:09.590;8;2:09.593;7;2:09.601;10;2:09.931;6;2:09.973;9;2:10.295;19;2:10.421;12;2:10.484;11;2:10.496;20;2:10.647;17;2:10.103
15;Toyota GR86;Am;11;2:09.654;5;2:10.082;6;2:10.141;7;2:10.246;10;2:10.456;8;2:10.805;9;2:11.535;11;2:14.917;4;2:16.561;2;7:19.798;3;2:42.419
61;Toyota GR86;Am;20;2:12.349;11;2:12.660;19;2:12.715;10;2:12.871;15;2:12.977;17;2:13.006;7;2:13.129;14;2:13.203;6;2:13.217;16;2:13.299;18;2:12.942
51;Toyota GR86;Am;20;2:11.208;18;2:11.306;10;2:11.322;17;2:11.359;13;2:11.524;11;2:11.574;8;2:11.592;15;2:11.888;6;2:11.913;19;2:11.926;7;2:11.561
113;Toyota GR86;Am;20;2:09.373;8;2:09.685;6;2:09.701;10;2:09.841;9;2:10.197;20;2:10.516;17;2:10.542;11;2:10.651;7;2:10.680;15;2:10.847;14;2:10.203
3;Toyota GR86;Am;20;2:09.877;15;2:10.282;10;2:10.413;14;2:10.545;20;2:10.590;9;2:10.706;12;2:10.732;11;2:10.881;8;2:11.064;13;2:11.236;18;2:10.632
71;Toyota GR86;Am;20;2:09.114;8;2:09.297;6;2:09.326;19;2:09.400;17;2:09.744;18;2:09.754;10;2:09.768;15;2:09.956;16;2:09.963;7;2:10.098;9;2:09.642
2;Toyota GR86;Am;20;2:09.057;16;2:09.121;8;2:09.143;10;2:09.163;12;2:09.175;20;2:09.311;17;2:09.370;7;2:09.418;11;2:09.426;13;2:09.483;15;2:09.266
41;Toyota GR86;Am;20;2:10.398;8;2:10.694;12;2:10.716;10;2:10.769;15;2:10.950;11;2:11.070;14;2:11.117;19;2:11.119;18;2:11.188;13;2:11.218;7;2:10.923
93;Toyota GR86;Am;19;2:11.154;14;2:11.198;11;2:11.382;18;2:11.385;17;2:11.403;6;2:11.457;13;2:11.592;15;2:11.641;10;2:11.751;19;2:11.762;9;2:11.472
13;Toyota GR86;Am;20;2:08.432;10;2:08.485;11;2:08.584;6;2:08.900;9;2:08.934;16;2:09.030;15;2:09.054;12;2:09.070;19;2:09.106;14;2:09.279;17;2:08.887
31;Toyota GR86;Am;20;2:09.029;7;2:09.554;6;2:09.608;12;2:09.697;11;2:09.714;9;2:09.831;10;2:10.033;15;2:10.138;13;2:10.245;8;2:10.321;14;2:09.817
